email,password,name,phone,shipping_address
spike_user_1@eshop.test,Spike@Test123!,Spike User 1,0900000001,"1 Spike Street, District 2, Ho Chi Minh City"
spike_user_2@eshop.test,Spike@Test123!,Spike User 2,0900000002,"2 Spike Street, District 3, Ho Chi Minh City"
spike_user_3@eshop.test,Spike@Test123!,Spike User 3,0900000003,"3 Spike Street, District 4, Ho Chi Minh City"
spike_user_4@eshop.test,Spike@Test123!,Spike User 4,0900000004,"4 Spike Street, District 5, Ho Chi Minh City"
spike_user_5@eshop.test,Spike@Test123!,Spike User 5,0900000005,"5 Spike Street, District 6, Ho Chi Minh City"
spike_user_6@eshop.test,Spike@Test123!,Spike User 6,0900000006,"6 Spike Street, District 7, Ho Chi Minh City"
spike_user_7@eshop.test,Spike@Test123!,Spike User 7,0900000007,"7 Spike Street, District 8, Ho Chi Minh City"
spike_user_8@eshop.test,Spike@Test123!,Spike User 8,0900000008,"8 Spike Street, District 9, Ho Chi Minh City"
spike_user_9@eshop.test,Spike@Test123!,Spike User 9,0900000009,"9 Spike Street, District 10, Ho Chi Minh City"
spike_user_10@eshop.test,Spike@Test123!,Spike User 10,0900000010,"10 Spike Street, District 1, Ho Chi Minh City"
spike_user_11@eshop.test,Spike@Test123!,Spike User 11,0900000011,"11 Spike Street, District 2, Ho Chi Minh City"
spike_user_12@eshop.test,Spike@Test123!,Spike User 12,0900000012,"12 Spike Street, District 3, Ho Chi Minh City"
spike_user_13@eshop.test,Spike@Test123!,Spike User 13,0900000013,"13 Spike Street, District 4, Ho Chi Minh City"
spike_user_14@eshop.test,Spike@Test123!,Spike User 14,0900000014,"14 Spike Street, District 5, Ho Chi Minh City"
spike_user_15@eshop.test,Spike@Test123!,Spike User 15,0900000015,"15 Spike Street, District 6, Ho Chi Minh City"
spike_user_16@eshop.test,Spike@Test123!,Spike User 16,0900000016,"16 Spike Street, District 7, Ho Chi Minh City"
spike_user_17@eshop.test,Spike@Test123!,Spike User 17,0900000017,"17 Spike Street, District 8, Ho Chi Minh City"
spike_user_18@eshop.test,Spike@Test123!,Spike User 18,0900000018,"18 Spike Street, District 9, Ho Chi Minh City"
spike_user_19@eshop.test,Spike@Test123!,Spike User 19,0900000019,"19 Spike Street, District 10, Ho Chi Minh City"
spike_user_20@eshop.test,Spike@Test123!,Spike User 20,0900000020,"20 Spike Street, District 1, Ho Chi Minh City"
spike_user_21@eshop.test,Spike@Test123!,Spike User 21,0900000021,"21 Spike Street, District 2, Ho Chi Minh City"
spike_user_22@eshop.test,Spike@Test123!,Spike User 22,0900000022,"22 Spike Street, District 3, Ho Chi Minh City"
spike_user_23@eshop.test,Spike@Test123!,Spike User 23,0900000023,"23 Spike Street, District 4, Ho Chi Minh City"
spike_user_24@eshop.test,Spike@Test123!,Spike User 24,0900000024,"24 Spike Street, District 5, Ho Chi Minh City"
spike_user_25@eshop.test,Spike@Test123!,Spike User 25,0900000025,"25 Spike Street, District 6, Ho Chi Minh City"
spike_user_26@eshop.test,Spike@Test123!,Spike User 26,0900000026,"26 Spike Street, District 7, Ho Chi Minh City"
