product_id,product_name,price,quantity,shipping_address,total_amount
1,Áo thun nam cổ tròn,150000,1,"1 Nguyễn Huệ, Quận 1, TP.HCM",150000
2,Quần jean slim fit,350000,1,"2 Lê Lợi, Quận 1, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"3 Trần Hưng Đạo, Quận 5, TP.HCM",450000
4,Túi xách nữ da PU,280000,1,"4 Điện Biên Phủ, Quận 3, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,2,"5 Cách Mạng Tháng 8, Quận 10, TP.HCM",190000
1,Áo thun nam cổ tròn,150000,2,"6 Nam Kỳ Khởi Nghĩa, Quận 3, TP.HCM",300000
2,Quần jean slim fit,350000,1,"7 Pasteur, Quận 3, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"8 Võ Văn Tần, Quận 3, TP.HCM",450000
4,Túi xách nữ da PU,280000,2,"9 Lý Tự Trọng, Quận 1, TP.HCM",560000
5,Mũ lưỡi trai basic,95000,1,"10 Hai Bà Trưng, Quận 1, TP.HCM",95000
1,Áo thun nam cổ tròn,150000,1,"11 Bùi Thị Xuân, Quận 1, TP.HCM",150000
2,Quần jean slim fit,350000,2,"12 Ngô Quyền, Quận 5, TP.HCM",700000
3,Giày thể thao trắng,450000,1,"13 Trần Phú, Quận 5, TP.HCM",450000
4,Túi xách nữ da PU,280000,1,"14 Hùng Vương, Quận 5, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,3,"15 Sư Vạn Hạnh, Quận 10, TP.HCM",285000
1,Áo thun nam cổ tròn,150000,2,"16 Thành Thái, Quận 10, TP.HCM",300000
2,Quần jean slim fit,350000,1,"17 Lý Thường Kiệt, Quận 10, TP.HCM",350000
3,Giày thể thao trắng,450000,2,"18 Tô Hiến Thành, Quận 10, TP.HCM",900000
4,Túi xách nữ da PU,280000,1,"19 Ba Tháng Hai, Quận 10, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,1,"20 Đinh Tiên Hoàng, Quận Bình Thạnh, TP.HCM",95000
1,Áo thun nam cổ tròn,150000,1,"21 Xô Viết Nghệ Tĩnh, Quận Bình Thạnh, TP.HCM",150000
2,Quần jean slim fit,350000,1,"22 Bạch Đằng, Quận Bình Thạnh, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"23 Phan Đăng Lưu, Quận Bình Thạnh, TP.HCM",450000
4,Túi xách nữ da PU,280000,2,"24 Bình Lợi, Quận Bình Thạnh, TP.HCM",560000
5,Mũ lưỡi trai basic,95000,2,"25 Nơ Trang Long, Quận Bình Thạnh, TP.HCM",190000
1,Áo thun nam cổ tròn,150000,1,"26 Hoàng Văn Thụ, Quận Phú Nhuận, TP.HCM",150000
2,Quần jean slim fit,350000,1,"27 Huỳnh Văn Bánh, Quận Phú Nhuận, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"28 Nguyễn Kiệm, Quận Phú Nhuận, TP.HCM",450000
4,Túi xách nữ da PU,280000,1,"29 Phan Xích Long, Quận Phú Nhuận, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,1,"30 Hoa Lan, Quận Phú Nhuận, TP.HCM",95000
1,Áo thun nam cổ tròn,150000,2,"31 Lê Văn Sỹ, Quận 3, TP.HCM",300000
2,Quần jean slim fit,350000,1,"32 Trương Định, Quận 3, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"33 Kỳ Đồng, Quận 3, TP.HCM",450000
4,Túi xách nữ da PU,280000,1,"34 Nguyễn Đình Chiểu, Quận 3, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,2,"35 Trần Quốc Thảo, Quận 3, TP.HCM",190000
1,Áo thun nam cổ tròn,150000,1,"36 Hoàng Diệu, Quận 4, TP.HCM",150000
2,Quần jean slim fit,350000,1,"37 Tôn Đản, Quận 4, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"38 Đoàn Văn Bơ, Quận 4, TP.HCM",450000
4,Túi xách nữ da PU,280000,2,"39 Bến Vân Đồn, Quận 4, TP.HCM",560000
5,Mũ lưỡi trai basic,95000,1,"40 Vĩnh Khánh, Quận 4, TP.HCM",95000
1,Áo thun nam cổ tròn,150000,1,"41 Trần Xuân Soạn, Quận 7, TP.HCM",150000
2,Quần jean slim fit,350000,1,"42 Huỳnh Tấn Phát, Quận 7, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"43 Nguyễn Thị Thập, Quận 7, TP.HCM",450000
4,Túi xách nữ da PU,280000,1,"44 Lê Văn Lương, Quận 7, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,2,"45 Phạm Hữu Lầu, Quận 7, TP.HCM",190000
1,Áo thun nam cổ tròn,150000,2,"46 Đào Trí, Quận 7, TP.HCM",300000
2,Quần jean slim fit,350000,1,"47 Nguyễn Lương Bằng, Quận 7, TP.HCM",350000
3,Giày thể thao trắng,450000,1,"48 Cao Triều Phát, Quận 7, TP.HCM",450000
4,Túi xách nữ da PU,280000,1,"49 Trần Não, Quận 2, TP.HCM",280000
5,Mũ lưỡi trai basic,95000,1,"50 Song Hành, Quận 9, TP.HCM",95000
